state,Total_Enrolment,Total_Biometric,Total_Demographic,Total_Authentications,Inactivity_Index,Z_Score,Abs_Z_Score
Andaman & Nicobar Islands,511.0,20698.0,7246.0,27944.0,-53.68493150684932,-1.3113377335450511,1.3113377335450511
Andhra Pradesh,127681.0,3714592.0,2295505.0,6010097.0,-46.07119305143287,-0.9852852363785628,0.9852852363785628
Arunachal Pradesh,4344.0,72394.0,36443.0,108837.0,-24.054558011049725,-0.04243976353292536,0.04243976353292536
Assam,230197.0,982722.0,1012578.0,1995300.0,-7.667793237965743,0.6593108424315967,0.6593108424315967
BALANAGAR,0.0,0.0,2.0,2.0,0.0,0.9876781941123547,0.9876781941123547
Bihar,609585.0,4897587.0,4814350.0,9711937.0,-14.932047212447813,0.3482247495350794,0.3482247495350794
Chandigarh,2723.0,74482.0,83361.0,157843.0,-56.96658097686375,-1.4518718497074068,1.4518718497074068
Chhatisgarh,0.0,5.0,4.0,9.0,0.0,0.9876781941123547,0.9876781941123547
Chhattisgarh,103219.0,2648729.0,2005434.0,4654163.0,-44.09017719605887,-0.9004497550505177,0.9004497550505177
Dadra & Nagar Haveli,25.0,553.0,235.0,788.0,-30.52,-0.3193173471439846,0.3193173471439846
Dadra & Nagar Haveli and Daman & Diu,864.0,33998.0,7585.0,41583.0,-47.12847222222222,-1.0305624042057215,1.0305624042057215
Dadra and Nagar Haveli and Daman and Diu,173.0,2532.0,3740.0,6272.0,-35.25433526011561,-0.5220616156821161,0.5220616156821161
Daman & Diu,21.0,2185.0,644.0,2829.0,-133.71428571428572,-4.738533314106769,4.738533314106769
Darbhanga,0.0,0.0,2.0,2.0,0.0,0.9876781941123547,0.9876781941123547
Goa,2333.0,68397.0,35120.0,103517.0,-43.37076725246464,-0.8696415771798385,0.8696415771798385
Gujarat,280549.0,3196514.0,1824327.0,5020841.0,-16.896485105988614,0.2640992066801377,0.2640992066801377
Haryana,98252.0,1635454.0,1166140.0,2801594.0,-27.514371208728576,-0.19060360438961266,0.19060360438961266
Himachal Pradesh,17486.0,396234.0,149214.0,545448.0,-30.19341187235503,-0.3053314616046912,0.3053314616046912
Jaipur,0.0,0.0,2.0,2.0,0.0,0.9876781941123547,0.9876781941123547
Jammu & Kashmir,48146.0,791647.0,407202.0,1198849.0,-23.900282474141154,-0.035833032246410615,0.035833032246410615
Jammu And Kashmir,950.0,0.0,0.0,0.0,1.0,1.0305024254772412,1.0305024254772412
Jharkhand,157539.0,2026297.0,1401189.0,3427486.0,-20.756428566894545,0.09880009485492092,0.09880009485492092
Karnataka,223235.0,2635954.0,1695285.0,4331239.0,-18.402150200461396,0.1996202563164014,0.1996202563164014
Kerala,75002.0,1609730.0,744952.0,2354682.0,-30.394922802058613,-0.3139610122808709,0.3139610122808709
Ladakh,617.0,5763.0,5735.0,11498.0,-17.635332252836303,0.23245864552024587,0.23245864552024587
Lakshadweep,203.0,4820.0,1176.0,5996.0,-28.536945812807883,-0.2343945758225622,0.2343945758225622
Madanapalle,0.0,0.0,2.0,2.0,0.0,0.9876781941123547,0.9876781941123547
Madhya Pradesh,493970.0,5923771.0,2912938.0,8836709.0,-16.889161285098286,0.26441284368042006,0.26441284368042006
Maharashtra,369139.0,9226139.0,5054602.0,14280741.0,-37.686622112537556,-0.6262224305960054,0.6262224305960054
Manipur,13456.0,282587.0,301549.0,584136.0,-42.410820451843044,-0.8285325932920367,0.8285325932920367
Meghalaya,109771.0,87626.0,87378.0,175004.0,-0.5942644232083154,0.9622292769609609,0.9622292769609609
Mizoram,5926.0,120329.0,41906.0,162235.0,-26.376814039824502,-0.1418885929976792,0.1418885929976792
NCT of Delhi,94529.0,1304362.0,1438934.0,2743296.0,-28.02068148398904,-0.2122859527597862,0.2122859527597862
Nagaland,15587.0,109593.0,36791.0,146384.0,-8.391415923526015,0.628322257124283,0.628322257124283
Nagpur,0.0,0.0,1.0,1.0,0.0,0.9876781941123547,0.9876781941123547
ODISHA,1.0,34.0,50.0,84.0,-83.0,-2.5667330091732334,2.5667330091732334
Odisha,122986.0,2464910.0,1111995.0,3576905.0,-28.08383881092157,-0.21499061674073264,0.21499061674073264
Puducherry,3017.0,69908.0,32763.0,102671.0,-33.03082532316871,-0.42684151170017776,0.42684151170017776
Punjab,76746.0,1739671.0,881895.0,2621566.0,-33.15899199958304,-0.4323301511042133,0.4323301511042133
Puttenahalli,0.0,0.0,1.0,1.0,0.0,0.9876781941123547,0.9876781941123547
Raja Annamalai Puram,0.0,0.0,1.0,1.0,0.0,0.9876781941123547,0.9876781941123547
Rajasthan,348458.0,3994955.0,2817615.0,6812570.0,-18.550620160822824,0.19326214438314807,0.19326214438314807
Sikkim,2207.0,22820.0,20340.0,43160.0,-18.55595831445401,0.19303354205698484,0.19303354205698484
Tamil Nadu,220789.0,4698117.0,2212228.0,6910345.0,-30.298411605650642,-0.309827994476594,0.309827994476594
Tamilnadu,0.0,1.0,0.0,1.0,0.0,0.9876781941123547,0.9876781941123547
Telangana,131574.0,1737654.0,1629908.0,3367562.0,-24.594433550701506,-0.06555951855121626,0.06555951855121626
The Dadra And Nagar Haveli And Daman And Diu,716.0,0.0,0.0,0.0,1.0,1.0305024254772412,1.0305024254772412
Tripura,11285.0,292155.0,138013.0,430168.0,-37.11856446610545,-0.6018957985166037,0.6018957985166037
Uttar Pradesh,1018629.0,9577735.0,8542328.0,18120063.0,-16.788677722703753,0.26871597500477157,0.26871597500477157
Uttarakhand,37698.0,764763.0,463637.0,1228400.0,-31.585283038888008,-0.36493727447041413,0.36493727447041413
Uttaranchal,0.0,2.0,5.0,7.0,0.0,0.9876781941123547,0.9876781941123547
WEST BENGAL,4.0,37.0,71.0,108.0,-26.0,-0.12575182137469712,0.12575182137469712
WESTBENGAL,1.0,12.0,57.0,69.0,-68.0,-1.9243695386999344,1.9243695386999344
West  Bengal,15.0,28.0,107.0,135.0,-8.0,0.6450843431932618,0.6450843431932618
West Bangal,10.0,54.0,157.0,211.0,-20.1,0.1269111436781338,0.1269111436781338
West Bengal,375297.0,2524448.0,3872172.0,6396620.0,-16.044154363077777,0.30059961561395704,0.30059961561395704
West Bengli,0.0,0.0,3.0,3.0,0.0,0.9876781941123547,0.9876781941123547
West bengal,7.0,20.0,60.0,80.0,-10.428571428571429,0.5410826384499657,0.5410826384499657
Westbengal,6.0,19.0,95.0,114.0,-18.0,0.21684202954439574,0.21684202954439574
andhra pradesh,5.0,41.0,77.0,118.0,-22.6,0.019850565265917282,0.019850565265917282
odisha,0.0,16.0,20.0,36.0,0.0,0.9876781941123547,0.9876781941123547
west Bengal,0.0,1.0,15.0,16.0,0.0,0.9876781941123547,0.9876781941123547
